
PARAMETERS
----------
Population size: 50
k (tournament selection): 2
alpha (recombination): 0.6
sigma (mutation): 0.4

Mutation probability: 1.5
Recombination probability: 0.6

BEST RESULT
-----------
Fitness: 0.5046377920527255
Kernels: [52.81165734  1.20845089 23.94525117 65.81086452 65.22557735 91.95200126
 85.99232693  2.07837712]

KERNELS
-------
            
0.495 - [54.063805388262885, 1.6490053834374339, 20.589607025461216, 65.88077101497413, 64.33150480010305, 93.84282209470086, 86.98679237777958, 1.7175367307204665]
0.487 - [52.7078383166707, 0.05242001710430111, 22.80207622536407, 65.7516585709412, 67.73665143830902, 93.25713893864301, 85.61652990799953, 1.589130558774068]
0.503 - [53.186154215727846, 1.1912280454825503, 22.30873893366745, 66.62824828736339, 66.96865627117309, 91.94821096190923, 84.54676548795209, 2.287754158431193]
0.475 - [53.81515493024275, 0.5827948510134572, 22.3092761874063, 67.34489891516145, 66.92007606153133, 92.25069366155495, 85.23135984322418, 1.1074954129158714]
0.502 - [51.615792788417885, 0.46190957039332187, 21.630220121009867, 66.61487962854879, 65.99627791520909, 92.94531187725515, 85.69299647619997, 2.2052548093547752]
0.503 - [53.02388305521699, 0.7807017158393501, 21.594945297231764, 66.99855451078965, 64.62269107256571, 94.12662970911383, 85.31064798472795, 2.2544268661583464]
0.495 - [52.32518091180081, 0.9930197454216466, 21.706365328500198, 66.17335003447945, 65.72779011291541, 93.14134882613786, 85.62634557285037, 2.7540418491342162]
0.496 - [52.20077491224461, 0.3513043805277662, 20.316063290909497, 66.00071562455865, 65.50117483678986, 93.17674232642072, 86.69606573111017, 1.915009550836316]
0.503 - [52.8762984248695, 0.5076531702757922, 21.295418665679076, 66.20559589354924, 65.88115721148331, 93.6755211042874, 84.9729757704383, 1.6062399432167311]
0.496 - [52.62573402180425, 0.8560320157481109, 21.473536878669297, 66.95251491989792, 66.4461171977846, 92.99276048757565, 86.22010553956959, 2.7417356593780187]
0.5 - [52.115659326119875, 0.5564179668435776, 22.491905346882145, 64.97945523062101, 65.76200898035528, 94.06554542595516, 85.14161652580484, 2.027108849770584]
0.502 - [52.1549912576887, 0.3811579641492119, 21.951063755989647, 66.46206093314343, 66.25143774415935, 93.32283956545909, 85.55301944328522, 1.827651507180821]
0.503 - [52.31167807886002, 0.3917864006008964, 20.96648872429389, 66.4455591861744, 66.27260182902239, 94.1921563725125, 85.40124768517724, 1.8829970470724193]
0.503 - [52.837814310758674, 0.11644702454346181, 21.492984844491932, 65.85548522470802, 65.79577554089641, 93.56268149993168, 84.8000903440547, 2.379444457860963]
0.502 - [53.369141592009484, 0.33887891130033826, 22.671560245592673, 65.66067144278844, 66.82892267260605, 92.90503774898978, 85.18905554572645, 2.2201015008513814]
0.503 - [53.138473821383805, 0.11362902405986786, 22.267624859275426, 66.48354489989893, 65.41035268409325, 92.52404897096459, 85.49374013355275, 2.118919758307844]
0.494 - [54.680226894718544, 0.325265705959783, 21.959295442801732, 66.16467534733155, 67.02027715532837, 93.26677747668396, 86.6651914861764, 2.860308627533504]
0.495 - [51.29329742598743, 0.2410150675126484, 22.711181895888032, 64.46709676092792, 66.58350364649054, 92.92507940053225, 85.79482936629145, 1.9286505357852008]
0.501 - [52.92680461208127, 0.5021567833865097, 21.801672854112457, 66.25852608065664, 66.98522807595947, 92.2723843842856, 84.18581954259157, 2.3324770373842303]
0.502 - [52.31027627489334, 1.3571700748645836, 21.764036447130902, 66.07548439062221, 66.34531515540758, 93.22676527368299, 85.920557510647, 1.9408115677337907]
0.503 - [53.21336463483787, 0.30762257852929403, 21.80488841907246, 66.83738020242498, 66.87279822805498, 92.42835245204189, 84.71654728368792, 1.618509891754228]
0.502 - [52.01648796029521, 0.14262961072210184, 22.563513499779255, 66.97279972090506, 66.57604569238399, 92.85138912230381, 85.67986307721048, 1.9139179480256432]
0.502 - [52.52837935508388, 0.4776388256781413, 22.505633389413152, 65.68216184962162, 66.43331975971564, 94.21881266786579, 85.3728209345282, 2.4036576506728986]
0.502 - [53.25797647320936, 0.35766519425830295, 20.97276218205214, 66.91895350784809, 64.37462252006127, 93.56291573976769, 86.25783826746758, 2.0658936863366173]
0.502 - [53.49650237356355, 1.221062498458799, 22.573575717474746, 66.22031457767294, 67.36903536534447, 91.51089120812284, 85.0009487598585, 2.4414064893021394]
0.491 - [53.335912603192426, 0.7742768201030599, 21.13664712284535, 66.41992655627571, 66.41576256584266, 91.80103646167272, 85.03961998223636, 2.755631194794303]
0.478 - [53.52762018686498, 0.9905717154349982, 21.824543653852764, 66.5719504042445, 66.43875660064938, 94.05436973539167, 86.0851265672579, 1.410951929670727]
0.501 - [52.76449165688614, 0.5620229747025636, 21.345939013762838, 66.24678948394532, 67.09591217669016, 93.82335209418426, 86.19164998609212, 1.8773425500260335]
0.502 - [52.04643054857022, 0.4945908997212064, 22.443226519458094, 67.37038480628134, 66.95084566831918, 92.78333794345603, 85.7624215133112, 1.8161765378216579]
0.495 - [54.75152859085754, 1.9649587223566938, 22.18749506576499, 66.65155992738578, 66.74860650206044, 93.4758999629086, 86.49031661164746, 1.8884579565437796]
0.502 - [52.76556733188775, 0.13360709375024082, 22.631333938096386, 65.95671461153758, 65.82135130437716, 92.51772573801568, 85.43939790160418, 2.228890816737237]
0.502 - [52.77968711254172, 0.6980021793728908, 22.52825777060754, 66.27210450035635, 66.61085185112455, 92.79221452891377, 85.0570987348808, 2.400581303116069]
0.501 - [53.48710686091664, 0.7246324894583687, 21.271185126868193, 66.34322922397396, 66.9164294438575, 93.59218197709114, 86.36553278397727, 2.067274425519651]
